,actively_hiring,Type_of_job,company_name,location,salary,experience
1247,,Business Development Executive,Zyvka,Noida,₹  2.4 - 3.2 LPA,0-2 years
1248,,Finance & Payroll Associate,Grow2Viral,Noida,₹  3.5 - 4 LPA,0-2 years
1249,,Graphic Designer,Matrix Trading Tech,Raipur,₹  2 LPA,0-2 years
1250,,Visa Executive And Coordinator,Fly Gowell Travel Solutions,Delhi,₹  2 - 2.5 LPA,0-2 years
1251,1.0,Accountant,Your Retail Coach (YRC),Work from home,₹  2.5 - 3 LPA,0-2 years
1252,1.0,Business Development Associate,Immensphere,Bangalore,₹  3 - 3.5 LPA,0-2 years
1253,1.0,Assistant Supervisor Recruitment,Believer Corporation,Work from home,₹  5.2 - 6.5 LPA,0-5 years
1254,1.0,Customer Support Executive,Zigsaw Consultancy,Jaipur,₹  2.4 - 3 LPA,0-2 years
1255,1.0,Manager - Accounts And Finance,Go4fresh,Navi Mumbai,₹  4 - 7 LPA,0-5 years
1256,1.0,Marketing And Sales Associate,Protectt.ai Labs Private Limited,Mumbai,₹  4 - 5 LPA,0-5 years
1257,1.0,Business Development Coordinator,Protectt.ai Labs Private Limited,Mumbai,₹  2.5 - 3.5 LPA,0-2 years
1258,1.0,Digital Marketing Executive,Ever Aspire Consulting,Mumbai,₹  2 - 2.4 LPA,0-2 years
1259,,3D Stage And Stall Graphic Designer,Ramp Asia,Delhi,₹  2 - 3 LPA,0-2 years
1260,1.0,Data Analyst,Futurlytic Private Limited,Bangalore,₹  4.5 - 5.5 LPA,0-5 years
1261,,Tech Lead - Learning Mangament System,Learn Tech,Work from home,₹  2.4 - 4.8 LPA,0-2 years
1262,1.0,UI/UX Designer,Rancho Labs,Delhi,₹  4 - 6 LPA,0-5 years
1263,1.0,Sales Executive-Pharma,Zigsaw Consultancy,Mumbai,₹  3.2 - 4 LPA,0-2 years
1264,1.0,Business Development Associate,BYJU'S The Learning App,Bhilwara,₹  7.5 - 8.5 LPA,0-5 years
1265,1.0,Business Development Executive,BYJU'S The Learning App,Jaipur,₹  7.5 - 8.5 LPA,0-5 years
1266,1.0,Business Development Associate,BYJU'S The Learning App,Alwar,₹  7.5 - 8.5 LPA,0-5 years
1267,1.0,Front Office Coordinator,Disha Skill Training Services,Mumbai,₹  2 - 2.2 LPA,0-2 years
1268,,Field Sales Associate,STONE BOUTIQUE,Jaipur,₹  2 - 2.5 LPA,0-2 years
1269,,Legal Associate,Tej Prakash Sharma And Associates,Jaipur,₹  2 - 3 LPA,0-2 years
1270,1.0,Ticketing Executive,Zigsaw Consultancy,Jaipur,₹  5 - 6 LPA,0-5 years
1271,,Sales Executive,Tangent Infocom Private Limited,Kaushambi,₹  2 - 3 LPA,0-2 years
1272,,Corporate Sales Associate,InsideFPV,Surat,₹  2.4 LPA,0-2 years
1273,,Social Media Associate,Everymedia Technologies Private Limited,Mumbai,₹  3 - 3.6 LPA,0-2 years
1274,1.0,Junior Android App Developer,SecqurAIse Technologies Private Limited,Work from home,₹  2 - 4 LPA,0-2 years
1275,,Human Resources (HR) Associate,Nutraj India,Noida,₹  2 - 4 LPA,0-2 years
1276,,HR - Recruiter,Talent'd By WorldRef,Delhi,₹  2.4 - 3 LPA,0-2 years
1277,,Corporate Sales Associate,QarmaTek Services Private Limited,Ahmedabad,₹  2 - 3 LPA,0-2 years
1278,,Software Engineer,EsyConnect,Work from home,₹  4 - 6.5 LPA,0-5 years
1279,,Android App Developer,Orufy Technologies,Jaipur,₹  3.6 - 4.25 LPA,0-2 years
1280,,Medical Escalation Manager,Traya Health,Mumbai,₹  2.5 - 3.5 LPA,0-2 years
1281,1.0,Operations (Onboarding) Executive,Astrotalk,Work from home,₹  2 LPA,0-2 years
1282,,Client Service Specialist,Mavenpro Solutions,Kolkata,₹  2 LPA,0-2 years
1283,1.0,Administration Executive,Bumppy Media Private Limited,Noida,₹  3 - 4 LPA,0-2 years
1284,,Graphic Designer,NEXT IAS,Delhi,₹  2.5 - 3.5 LPA,0-2 years
1285,1.0,Sales Executive - Real Estate,Ecohh,Gurgaon,₹  2 - 3.5 LPA,0-2 years
1286,1.0,Graphic Designer,Medius Technologies Private Limited,Mumbai,₹  2 - 3 LPA,0-2 years
1287,1.0,Junior Media & Public Relations (PR) Executive,Medius Technologies Private Limited,Mumbai,₹  2 - 3 LPA,0-2 years
1288,1.0,Business Development Associate,Medius Technologies Private Limited,Mumbai,₹  2 - 3 LPA,0-2 years
1289,1.0,Talent Acquisition Trainee,Medius Technologies Private Limited,Mumbai,₹  2 - 3 LPA,0-2 years
1290,1.0,Chat/Email Processing Trainee,Medius Technologies Private Limited,Mumbai,₹  2 - 3 LPA,0-2 years
1291,1.0,Human Resources (HR) Specialist,Medius Technologies Private Limited,Mumbai,₹  3 - 4 LPA,0-2 years
1292,1.0,Subject Matter Expert (Civil Engineering),Vaidik EduServices Private Limited,Work from home,₹  2 - 3 LPA,0-2 years
1293,1.0,Subject Matter Expert (Mechanical Engineering),Vaidik EduServices Private Limited,Work from home,₹  2 - 3 LPA,0-2 years
1294,1.0,Online Tutor - Economics,Vaidik EduServices Private Limited,Work from home,₹  2 - 3 LPA,0-2 years
1295,1.0,Administration Executive,Alliance India,Mumbai,₹  2 LPA,0-2 years
1296,1.0,Senior Graphic Designer,Fusion Beauty,Faridabad,₹  3 - 6 LPA,0-5 years
1297,1.0,Educational Travel Sales Manager,Global Eduversity,Delhi,₹  2 - 2.5 LPA,0-2 years
1298,1.0,Marketing Specialist,Minus Equals Plus,Gurgaon,₹  2 - 3 LPA,0-2 years
1299,1.0,Business Development Associate,TradeReboot Fintech Private Limited,Delhi,₹  2 - 2.5 LPA,0-2 years
1300,1.0,Client Relationship Executive,Stareye Media & Entertainment Private Limited,Delhi,₹  2 - 2.5 LPA,0-2 years
1301,1.0,Google Ads - Associate,Confluencr,Bangalore,₹  3 - 5 LPA,0-5 years
1302,1.0,Facebook Ads - Associate,Confluencr,Bangalore,₹  3 - 5 LPA,0-5 years
1303,1.0,Database Developer,Protectt.ai Labs Private Limited,Chennai,₹  2.5 - 3.5 LPA,0-2 years
1304,1.0,Customer Acquisition Associate,SND DIGITAL RETAILS LLP (StarAndDaisy),Ghaziabad,₹  2.3 - 2.6 LPA,0-2 years
1305,1.0,Laravel Developer,CodeNxt Web Technologies Private Limited,Work from home,₹  2 - 7.2 LPA,0-5 years
1306,1.0,After Effects & 2D Animator,Intesome,Work from home,₹  2 - 6 LPA,0-5 years
1307,1.0,Business Development Executive,GetWork,Mumbai,₹  2.6 - 3.6 LPA,0-2 years
1308,1.0,Customer Service Executive,Believers Destination,Noida,₹  2.16 LPA,0-2 years
1309,1.0,Purchase Executive,Inorbvict Healthcare India Private Limited,Pune,₹  2 - 2.2 LPA,0-2 years
1310,1.0,Videographer,Breakout,Bangalore,₹  2.2 - 2.5 LPA,0-2 years
1311,,Senior Recruitment Associate,Saamagra Placements,Delhi,₹  2 - 4 LPA,0-2 years
1312,1.0,Business Development Executive,Add Pearlinfo Private Limited,Ahmedabad,₹  2 - 3 LPA,0-2 years
1313,1.0,Junior Social Media Marketing Executive,Grivaa Consultancy Services,Work from home,₹  2 - 2.4 LPA,0-2 years
1314,1.0,Front Office Coordinator,Disha Skill Training Services,Ulhasnagar,₹  2 - 2.2 LPA,0-2 years
1315,1.0,Business Development Executive,Disha Skill Training Services,Ulhasnagar,₹  2.2 - 2.4 LPA,0-2 years
1316,1.0,Junior Business Analyst,Infoware,Ahmedabad,₹  2 - 3 LPA,0-2 years
1317,1.0,Assistant Chemistry Teacher,Ekids India,Mumbai,₹  2.4 - 3 LPA,0-2 years
1318,1.0,Assistant Teacher Physics,Ekids India,Mumbai,₹  2.4 - 3 LPA,0-2 years
1319,1.0,Economics Teacher,Ekids India,Mumbai,₹  2.4 - 3 LPA,0-2 years
1320,1.0,Assistant English Teacher,Ekids India,Mumbai,₹  2.4 - 3 LPA,0-2 years
1321,,Junior Search Engine Optimization (SEO) Executive,SB Innovations,Panchkula,₹  2 LPA,0-2 years
1322,1.0,Junior Business Development Executive,Aislinn HR & Consulting Services,Mumbai,₹  2 LPA,0-2 years
1323,,Video Editor,Studio What Nxt,Gurgaon,₹  3 - 4 LPA,0-2 years
1324,,Talent Acquisition Specialist,Om Careers,Ludhiana,₹  2 - 2.5 LPA,0-2 years
1325,,Accountant,Essen International,Delhi,₹  2.5 - 3 LPA,0-2 years
1326,1.0,Graphic Designer,Material Depot,Bangalore,₹  3 - 4 LPA,0-2 years
1327,,Assistant Manager - Sales (Weddings & Corporate Events),Herakraft Private Limited,Delhi,₹  2.4 - 6 LPA,0-5 years
1328,,Customer Support/Technical Support Trainee,Webmobi,Work from home,₹  2 LPA,0-2 years
1329,1.0,Junior Search Engine Optimization (SEO) Associate,Urbot,Delhi,₹  2 - 2.2 LPA,0-2 years
1330,,Junior Lawyer,Advocate Vivek Busa,Dahisar,₹  7.5 LPA,0-5 years
1331,1.0,Junior Business Development Associate,Urbot,Delhi,₹  2 - 2.2 LPA,0-2 years
1332,1.0,System Administrator (Linux),Botlie Software And Consulting Private Limited,Noida,₹  2 - 3 LPA,0-2 years
1333,1.0,Junior Business Development Associate,Urbot,Delhi,₹  2 - 2.2 LPA,0-2 years
1334,1.0,Customer Support Executive,Jobwaala,Delhi,₹  2.5 - 3.75 LPA,0-2 years
1335,1.0,Technical Support Specialist,Garmin Express Updater,Mohali,₹  2.5 - 3.5 LPA,0-2 years
1336,1.0,Software Developer,CollegeIt,Work from home,₹  3 - 4.2 LPA,0-2 years
1337,,Operations Executive,Gogaga Holidays Private Limited,Hyderabad,₹  2 - 3 LPA,0-2 years
1338,,Field Sales Executive,Sandesh Distributor Private Limited,Vadodara,₹  2.5 - 3 LPA,0-2 years
1339,,Translator,Karv Facility,Delhi,₹  2 - 2.5 LPA,0-2 years
1340,,Junior Teacher,Kumon Rohini,Delhi,₹  2 - 3 LPA,0-2 years
1341,,Finance Manager,The Craft Talk,Work from home,₹  8 - 10 LPA,0-5 years
1342,1.0,HR Recruiter,Medius Technologies Private Limited,Mumbai,₹  2 - 3 LPA,0-2 years
1343,1.0,Customer Relations,Medius Technologies Private Limited,Mumbai,₹  2 - 3 LPA,0-2 years
1344,1.0,Corporate Sales Associate,Medius Technologies Private Limited,Mumbai,₹  2 - 3 LPA,0-2 years
1345,1.0,GPT,Medius Technologies Private Limited,Mumbai,₹  2 - 3 LPA,0-2 years
1346,1.0,Company Secreatry,Medius Technologies Private Limited,Mumbai,₹  2 - 3 LPA,0-2 years
1347,1.0,Process Associate,Medius Technologies Private Limited,Mumbai,₹  2 - 3 LPA,0-2 years
1348,1.0,Accounts,Medius Technologies Private Limited,Mumbai,₹  2 - 3 LPA,0-2 years
1349,,Accountant,StartupLanes,Panaji,₹  2.16 - 2.4 LPA,0-2 years
1350,1.0,Subject Matter Expert & Guest Lecturer,IB Experts For 7 On 7 Private Limited,Thane,₹  3 - 4.5 LPA,0-2 years
1351,,ORM Executive,Mirraw Online Services Private Limited,Mumbai,₹  2 - 2.8 LPA,0-2 years
1352,,Junior Recruitment Executive,Parsley Management Private Limited,Lucknow,₹  2 - 2.5 LPA,0-2 years
1353,,Chemistry & Biology Faculty,Secondsalary,Hazaribagh,₹  6 LPA,0-5 years
1354,,Digital Marketing Executive,Rudralife,Mumbai,₹  2.5 - 4 LPA,0-2 years
1355,,Interior Designer,Global Buildtech Private Limited,Delhi,₹  3.5 - 3.6 LPA,0-2 years
1356,,Flutter Tutor,Red & White Multimedia Education,Ahmedabad,₹  2 - 3 LPA,0-2 years
1357,1.0,Merchandise  ( Female Candidates),An Indian Story,Lucknow,₹  2 - 2.5 LPA,0-2 years
1358,1.0,ERP Trainee,Allgrow Technologies Private Limited,Mysuru,₹  2 - 2.2 LPA,0-2 years
1359,1.0,Photographer,APSK Production & Entertainment Private Limited,Ahmedabad,₹  2 - 2.4 LPA,0-2 years
1360,1.0,Digital Marketing Executive,Saregama India Limited,Mumbai,₹  2 - 2.4 LPA,0-2 years
1361,1.0,Customer Success Executive,YourDOST Health Solutions,Bangalore,₹  2.5 - 3 LPA,0-2 years
1362,1.0,Graduate Engineer Trainee,Satrac Engineering Private Limited,Bangalore,₹  2 - 2.5 LPA,0-2 years
1363,1.0,Junior Finance And Legal Associate,Urbot,Delhi,₹  2 - 2.2 LPA,0-2 years
1364,1.0,Business Development Associate,Software At Work,Mumbai,₹  3 - 4 LPA,0-2 years
1365,,Relationship Manager,Blox,Mumbai,₹  3 - 4 LPA,0-2 years
1366,,Finance Executive,Hyperlink Brand Solutions Private Limited,Mumbai,₹  2 - 2.4 LPA,0-2 years
1367,,Copywriter,Bluebot Digital Private Limited,Bangalore,₹  2 - 5 LPA,0-5 years
1368,,Database Trainee,Cybix Technical Services LLP,Noida,₹  2.5 - 4 LPA,0-2 years
1369,,Sales Executive,NoBroker,Bangalore,₹  2 - 3.3 LPA,0-2 years
1370,,Business Development Executive,DigiClinik,Bangalore,₹  3 - 4 LPA,0-2 years
1371,,Chemistry Faculty (Kannada),Physics Wallah Private Limited,Bangalore,₹  3 - 5 LPA,0-5 years
1372,,Inventory Management And Marketing,PHE Sealing Solutions Private Limited,Gurgaon,₹  2 - 2.1 LPA,0-2 years
1373,,Sales Associate,Newfold Digital,Work from home,₹  3.5 - 4 LPA,0-2 years
1374,,Junior Engineer,Intech Insurance Surveyors Private Limited,Ballari,₹  2.5 - 3.5 LPA,0-2 years
1375,,Telecaller,Induzbuy Supply Chain Solutions Private Limited,Bangalore,₹  3 LPA,0-2 years
1376,,Field Sales Executive,Maven,Work from home,₹  2 - 6 LPA,0-5 years
1377,,Corporate Sales Executive,Pixabits Technology Private Limited,Mumbai,₹  2 - 3 LPA,0-2 years
1378,1.0,Video Editor,Bollygrad Studioz,Work from home,₹  2 - 2.1 LPA,0-2 years
1379,1.0,Graduate Engineer Trainee,Zeco Aircon Limited,Gurgaon,₹  2.7 - 3.5 LPA,0-2 years
1380,,Travel Sales Consultant,Dyninno India LLP,Gurgaon,₹  3 - 3.6 LPA,0-2 years
1381,1.0,Network Engineer,I Square Soft,Bangalore,₹  2 - 5 LPA,0-5 years
1382,1.0,Corporate Sales Specialist,Kaapicat Beverages Private Limited,Bangalore,₹  2 - 3.5 LPA,0-2 years
1383,,Assistant – Program Management & Administration,Antarang Foundation,Pune,₹  2 - 3 LPA,0-2 years
1384,,Social Media And Content Specialist,Party A La Carte,Mumbai,₹  2 LPA,0-2 years
1385,,SEO Executive,Infibusiness Solution,Vadodara,₹  2 - 2.4 LPA,0-2 years
1386,,Associate - Technical Support,Salestrendz Technologies Private Limited,Pune,₹  2 - 3 LPA,0-2 years
1387,,Laravel And PHP Developer,InfoScience Labs,Work from home,₹  2 - 3 LPA,0-2 years
1388,1.0,Administration Manager,Asntax Private Limited,Kaushambi,₹  6 - 9 LPA,0-5 years
1389,,Field Sales Executive,Svanz International Private Limited,Mohali,₹  2 - 3 LPA,0-2 years
1390,,Corporate Sales Executive,CEO Review Magazine,Delhi,₹  2 - 3 LPA,0-2 years
1391,,Corporate Sales Executive,Denave India Private Limited,Ajmer,₹  2 - 3 LPA,0-2 years
1392,1.0,Senior Photographer,APSK Production & Entertainment Private Limited,Lucknow,₹  2 - 2.4 LPA,0-2 years
1393,,React.JS Developer,VidyutTech Services Private Limited,Bangalore,₹  7 LPA,0-5 years
1394,,Business Consultant,Novus Immigration Services Private Limited,Bangalore,₹  2.4 - 3.6 LPA,0-2 years
1395,,Junior Medicine Manager,Traya Health,Mumbai,₹  2 - 2.5 LPA,0-2 years
1396,,Junior Python Developer,Dezzex Technologies,Chennai,₹  2.5 - 3 LPA,0-2 years
1397,,Operations Executive,Doqfy Internet Private Limited,Bangalore,₹  2.16 LPA,0-2 years
1398,,Corporate Sales Executive,Teamnest Employee Services Private Limited,Mumbai,₹  2 - 5 LPA,0-5 years
1399,,Back Office Executive,Oorja Technical Services Private Limited,Indore,₹  2 - 3 LPA,0-2 years
1400,1.0,Senior Graphic Designer,Bridge360 Brand Solutions Private Limited,Work from home,₹  2.5 - 3 LPA,0-2 years
1401,,Data Process Exectuive,ScoreMe Solutions Private Limited,Gurgaon,₹  2 - 2.5 LPA,0-2 years
1402,,Business Development Associate,International Institute Of Financial Markets (Pratham),Delhi,₹  3 LPA,0-2 years
1403,1.0,React Native Developer,TISSA Technology,Pune,₹  2 - 6 LPA,0-5 years
1404,,Telesales Executive,Treebo Hotels,Bangalore,₹  4 - 4.5 LPA,0-2 years
1405,,Graphic Designer,Dukami,Noida,₹  2 - 5 LPA,0-5 years
1406,1.0,Corporate Sales Manager,Asntax Private Limited,Kaushambi,₹  9 - 15 LPA,0-5 years
1407,,Associate UI/UX Designer,Letsinfluence.io,Work from home,₹  2 - 2.5 LPA,0-2 years
1408,,Digital Marketing Executive,Camp Automation,Bangalore,₹  2 - 4 LPA,0-2 years
1409,,Business Development Executive,Symmetric Consultancy Services,Bangalore,₹  3 - 3.5 LPA,0-2 years
1410,1.0,Digital Marketing Associate,Himangini Wellness Private Limited,Allahabad,₹  5.2 - 6.5 LPA,0-5 years
1411,,Accountant,Yatee Boutiquee,Kolkata,₹  2 LPA,0-2 years
1412,,Human Resources (HR) Associate,Arch Store,Mumbai,₹  2 - 3 LPA,0-2 years
1413,,Inside Sales Executive,Shivaami Cloud Services Private Limited,Mumbai,₹  2 - 3 LPA,0-2 years
1414,,Technical Recruiter,Antal International Network,Hyderabad,₹  2.4 - 3.6 LPA,0-2 years
1415,,Field Sales Associate,A&A Tech (Bhaibandhu),Ludhiana,₹  2 - 3 LPA,0-2 years
1416,,Junior Business Development Executive,Trikolaa Tech,Mumbai,₹  2 LPA,0-2 years
1417,,Operations Associate,Yulu Bikes Private Limited,Bangalore,₹  4 - 4.5 LPA,0-2 years
1418,,Business Development Executive,Alt M Digital Private Limited,Hyderabad,₹  2.5 - 4.5 LPA,0-2 years
1419,,Business Development Associate,Playto Labs,Bangalore,₹  2.5 - 3 LPA,0-2 years
1420,,Junior Talent Acquisition Associate,Dhwani Rural Information Systems Private Limited,Gurgaon,₹  2 - 2.6 LPA,0-2 years
1421,,Lead Generation Executive,MProfit Software Private Limited,Mumbai,₹  2 - 2.5 LPA,0-2 years
1422,,Procurement Executive,Bulk MRO,Mumbai,₹  2 - 2.5 LPA,0-2 years
1423,,UAV System Engineer,Lycan Aerospace,Bangalore,₹  5 - 7 LPA,0-5 years
1424,,Executive - Volunteer Management,Magic Bus India Foundation,Bangalore,₹  2 - 2.2 LPA,0-2 years
1425,,Business Development Executive,Viva Global,Mumbai,₹  2 - 2.5 LPA,0-2 years
1426,,Tele-sales Executive,JSpark,Greater Noida,₹  2 - 3.5 LPA,0-2 years
1427,,Junior 2d Cartoon Animator,Yodhra Telugu Cartoon,Work from home,₹  2 - 6.5 LPA,0-5 years
1428,,Customer Acquisition Associate,Decathlon,Bangalore,₹  2 LPA,0-2 years
1429,1.0,Telecaller,The Tech Hub,Pune,₹  2 LPA,0-2 years
1430,,Operations Executive,Digital Refresh Networks,Mumbai,₹  2 - 4 LPA,0-2 years
1431,,Business Development Associate,Realty Rhinos,Gurgaon,₹  2 - 3.99 LPA,0-2 years
1432,,Business Development Executive,Micon Impex LLP,Mumbai,₹  2 - 2.5 LPA,0-2 years
1433,,Sales Executive - Inbound,Treebo Hotels,Bangalore,₹  4 - 5 LPA,0-5 years
1434,,Digital Marketing Trainee,IT Path Solutions,Ahmedabad,₹  2 - 3 LPA,0-2 years
1435,,Academic Counsellor,Inspire Academy,Mumbai,₹  2 - 3 LPA,0-2 years
1436,,Customer Care Associate (Chat),Tier1jobs.in,Bangalore,₹  2 - 2.1 LPA,0-2 years
1437,,Corporate Sales Executive,Suventure Services Private Limited,Delhi,₹  4 - 6 LPA,0-5 years
1438,,Associate - Oracle Apps Technical Consultant,Lonar Technologies Private Limited,Pune,₹  2.2 - 2.4 LPA,0-2 years
1439,,HR Executive,Tax-O-Smart LLP,Mumbai,₹  2 - 2.1 LPA,0-2 years
1440,,Associate Content Writer,Hotel And Restaurant Association Of Northern India,Delhi,₹  2.5 - 3 LPA,0-2 years
1441,,Customer Acquisition Executive,Mirraw Online Services Private Limited,Mumbai,₹  2 - 2.5 LPA,0-2 years
1442,,Associate Telecaller,Way2Max Services,Jaipur,₹  2 - 3 LPA,0-2 years
1443,,Associate Product Manager,Neemtree Internet Private Limited,Work from home,₹  2.5 - 3 LPA,0-2 years
1444,,Telecaller,Shelter Mentors Private Limited,Pune,₹  2 LPA,0-2 years
1445,,Business Development Manager,Ungrezi,Jaipur,₹  3.6 LPA,0-2 years
1446,,Sales Associate,Ashiya Digi School,Pune,₹  2 - 2.2 LPA,0-2 years
1447,,Business Development Associate,Rizee (MyLearning Plus Private Limited),Hyderabad,₹  5 LPA,0-5 years
1448,1.0,IT Content Editor/Writer,Content-Whale,Navi Mumbai,₹  5 - 6 LPA,0-5 years
1449,,Market Research Executive,Galaxy Solutions,Panipat,₹  2.5 - 3 LPA,0-2 years
1450,1.0,Cybersecurity Analysis Preceptor,Future Skills,Hyderabad,₹  2.5 - 3.5 LPA,0-2 years
1451,,ECommerce Operations,Bibliophiles,Mumbai,₹  2 - 2.1 LPA,0-2 years
1452,1.0,Relationship Manager,Great Eastern Money,Delhi,₹  3.5 LPA,0-2 years
1453,1.0,Education Counsellor,Zigsaw Consultancy,Gurgaon,₹  3.3 - 3.9 LPA,0-2 years
1454,,Legal Associate - Night Shift,Viable Outsource Solution,Delhi,₹  2 - 3.6 LPA,0-2 years
1455,1.0,Assistant Manager (Business Development),Zigsaw Consultancy,Gurgaon,₹  2 - 2.2 LPA,0-2 years
1456,1.0,Travel Sales Executive,Zigsaw Consultancy,Gurgaon,₹  4 - 4.5 LPA,0-2 years
1457,,Marketing Executive,New Tech Solution,Noida,₹  4 - 6 LPA,0-5 years
1458,,Social Media Executive,Mirats Insights,Mumbai,₹  2 - 3 LPA,0-2 years
1459,,Business Development Associate,Space Work,Mumbai,₹  2 - 5 LPA,0-5 years
1460,1.0,Business Development Manager,Expertrons,Jalandhar,₹  2 - 3.5 LPA,0-2 years
1461,1.0,E-mail Marketing Executive,Group Futurista,Work from home,₹  2 - 3 LPA,0-2 years
1462,,Office Administrator,Bhagyadeep Cables,Bangalore,₹  2 - 3.6 LPA,0-2 years
1463,1.0,Sales And Marketing Executive,Group Futurista,Work from home,₹  2.5 - 4.5 LPA,0-2 years
1464,1.0,Videographer,Tech Burner,Noida,₹  2.64 - 3 LPA,0-2 years
1465,,Business Development Associate,Vimaana Aerospace Technologies,Noida,₹  2.2 - 4.5 LPA,0-2 years
1466,,Omni Sports Leader (Sales Executive),Decathlon,Delhi,₹  4 - 4.32 LPA,0-2 years
1467,,Travel Consultant,Ocean Sol Tours And Travels Private Limited,Bangalore,₹  2 LPA,0-2 years
1468,,HR Recruiter,Skugal Technologies Private Limited,Work from home,₹  2.5 - 3 LPA,0-2 years
1469,,Stores Executive,SI Fintech Private Limited,Pune,₹  2 - 3 LPA,0-2 years
1470,,Junior Social Media Marketing Executive,GagaHealth,Gurgaon,₹  2 - 3 LPA,0-2 years
1471,,Corporate Sales Associate,Brand Liberty,Pune,₹  2 - 2.2 LPA,0-2 years
1472,,Graphic Designer,DIGITAL WHOPPER,Jaipur,₹  2 - 2.5 LPA,0-2 years
1473,,Sales Executive,Brand Liberty,Pune,₹  2 - 2.5 LPA,0-2 years
1474,,Junior Video Editor,Avani Kukreja,Gurgaon,₹  2 - 2.4 LPA,0-2 years
1475,,Sales Executive,Fitelo,Work from home,₹  2 - 4.5 LPA,0-2 years
1476,,Shopify Developer,Let Me Sell Private Limited,Delhi,₹  2 - 2.5 LPA,0-2 years
1477,,Marketing Associate,KITES Senior Care,Bangalore,₹  3 - 4 LPA,0-2 years
1478,,Junior Search Engine Optimization (SEO) Executive,Throttll,Jaipur,₹  2 LPA,0-2 years
1479,1.0,Junior Operations Executive,Unbound,Work from home,₹  2.4 LPA,0-2 years
1480,,Telecaller,Belpatram Infratech Private Limited,Noida,₹  2 - 3 LPA,0-2 years
1481,1.0,IT Software Sales,Zigsaw Consultancy,Work from home,₹  4 - 4.5 LPA,0-2 years
1482,,Telesales Trainee - Loans,Finacri Advisory Intermediary & Resources Private Limited,Mumbai,₹  2 - 2.5 LPA,0-2 years
1483,,Customer Success Associate,K21 Academy,Work from home,₹  2 - 5 LPA,0-5 years
1484,,Marketing Associate,Hoovu By Rose Bazaar,Bangalore,₹  2.4 - 3 LPA,0-2 years
1485,,Business Development Executive,Sambuq,Mumbai,₹  2 LPA,0-2 years
1486,,Business Development Executive,Ankit Sehra & Associates,Delhi,₹  2 - 3 LPA,0-2 years
1487,,NURSE,Dr. Mehul Bhatt,Mumbai,₹  2 LPA,0-2 years
1488,,Operations Executive,Just4You Surprise Planners LLP,Delhi,₹  2 - 2.5 LPA,0-2 years
1489,,Junior Social Media Marketing Manager,Broomling Technologies,Work from home,₹  2 - 3 LPA,0-2 years
1490,1.0,Personal Assistant,Kshitiksha Foundation,Greater Noida,₹  3 - 5 LPA,0-5 years
1491,,Back Office Executive,C P Solutions,Patna,₹  2 - 2.1 LPA,0-2 years
1492,,.NET Developer,QarmaTek Services Private Limited,Ahmedabad,₹  2.5 - 7.5 LPA,0-5 years
1493,,Graphic Designer,Wilyfox Media Co,Bhubaneswar,₹  2.4 LPA,0-2 years
1494,,Associate - Digital Marketing,Xdigics Technologies Private Limited,Bangalore,₹  2 - 2.1 LPA,0-2 years
1495,,Operations Manager,OneRoot (ENP),Mysuru,₹  2.2 - 3 LPA,0-2 years
1496,,Equity Dealer,HMA Trading,Noida,₹  2 - 5 LPA,0-5 years
1497,1.0,Debt Recovery Executive (International Process),Virtual Team Corpserve Private Limited,Delhi,₹  2 - 2.5 LPA,0-2 years
1498,,Business Development Associate,ICyberPro Private Limited,Delhi,₹  2 - 5 LPA,0-5 years
1499,,Business Communication Executive,SCG Design Solutions,Chandigarh,₹  2.4 - 3.6 LPA,0-2 years
1500,,Sales & Relationship Manager,Raj Placement Services,Delhi,₹  2 - 6 LPA,0-5 years
1501,,Corporate Sales Executive,Bootstart Spaces And Hospitality Private Limited,Pune,₹  2.5 - 3.5 LPA,0-2 years
1502,,Community Manager,Hashtag Inc.,Chennai,₹  2.4 LPA,0-2 years
1503,1.0,Customer Acquisition Manager,Tmart Platform Private Limited,Mumbai,₹  2 - 3.5 LPA,0-2 years
1504,1.0,Business Development Associate,DevTown,Bangalore,₹  3 - 5 LPA,0-5 years
1505,1.0,Telecaller,MyMoneyMantra Fintech Private Limited,Delhi,₹  2 - 2.5 LPA,0-2 years
1506,1.0,Associate Telecaller,NirogStreet,Delhi,₹  2 - 3.6 LPA,0-2 years
1507,1.0,Business Development Executive,Rhine Global LLP,Work from home,₹  3.5 - 5.5 LPA,0-5 years
1508,,Videographer,9 Figures Club Private Limited,Vasai-Virar,₹  2 - 3 LPA,0-2 years
1509,1.0,Digital Marketing Executive,Right Health & Pharmaceuticals,Mumbai,₹  3 - 6 LPA,0-5 years
1510,,Associate Accountant,PVN Gupta & Co,Bangalore,₹  2 - 2.4 LPA,0-2 years
1511,,Business Development Executive,Dawell Lifescience Private Limited,Delhi,₹  3.7 LPA,0-2 years
1512,,Business Development Executive,Cyber3ra,Kanpur,₹  2 - 3 LPA,0-2 years
1513,,Business Development Associate,BYJU'S The Learning App,Work from home,₹  4 - 8 LPA,0-5 years
1514,1.0,CEO Office Executive,DVerse Labs,Chennai,₹  2.8 - 3.2 LPA,0-2 years
1515,1.0,Social Media Executive,Buzzinga Digital,Work from home,₹  2 LPA,0-2 years
1516,1.0,Business Development Executive,Asntax Private Limited,Kaushambi,₹  9 - 15 LPA,0-5 years
