,actively_hiring,Type_of_job,company_name,location,salary,experience
59,1.0,Manufacturing Executive,Rorosaur Foodtech Private Limited,Work from home,₹  2 - 3 LPA,0-2 years
60,1.0,Junior Graphic Designer,Colab India,Mumbai,₹  3.6 - 4 LPA,0-2 years
61,1.0,Business Development Specialist,HSV Media Private Limited,Gurgaon,₹  3.2 - 4.8 LPA,0-2 years
62,1.0,Business Development Associate,BYJU'S The Learning App,Chandigarh,₹  7.5 - 8.5 LPA,0-5 years
63,1.0,Data Scientist,Future Skills,Pathanamthitta,₹  3 - 5 LPA,0-5 years
64,,PHP Developer,Go Sharpener Private Limited,Noida,₹  6 - 9 LPA,0-5 years
65,,Human Resources (HR) Manager,Marketing Surge,Noida,₹  2.5 - 3.5 LPA,0-2 years
66,,Junior Social Media Marketing Manager,PK Online Ventures Private Limited,Gurgaon,₹  2 - 16 LPA,0-5 years
67,,Business Operations Head,Olixir Gourmet Oil,Ahmedabad,₹  2 - 2.4 LPA,0-2 years
68,,Interior Designer,Square Yards,Gurgaon,₹  2 LPA,0-2 years
69,,Business Development Manager,EternalFlowers,Thiruvananthapuram,₹  2.5 - 3.6 LPA,0-2 years
70,,Python (AI/ML) Engineer,HOPS HEALTHCARE,Ahmedabad,₹  2 - 4 LPA,0-2 years
71,,Junior Software Tester,QuantumLink Communications Private Limited,Pune,₹  2 - 2.2 LPA,0-2 years
72,,TECHNICAL CONTENT WRITER,Fornax,Mumbai,₹  3.5 - 4 LPA,0-2 years
73,,Junior Software Developer,Nirvi Tech,Nagpur,₹  2 - 6 LPA,0-5 years
74,,Data Entry Executive,Parker Overseas Private Limited,Ghaziabad,₹  2 - 2.5 LPA,0-2 years
75,,Video Editor,Digital Series,Chandigarh,₹  2 - 2.2 LPA,0-2 years
76,,Business Development Executive (BDE) Trainee / Sales Executive - IT Industry,AppsRow,Ahmedabad,₹  2 - 3 LPA,0-2 years
77,,Video Anchor,Bharti Media & Events,Delhi,₹  3 - 4 LPA,0-2 years
78,,Business Development Executive,RSK Travel Consultants Private Limited,Delhi,₹  2.76 - 4.8 LPA,0-2 years
79,,Software Developer,Vardhan Software Solutions Private Limited,Pune,₹  2.7 - 3 LPA,0-2 years
80,,Digital Marketing Executive,Invest4Edu Private Limited,Work from home,₹  2 - 2.8 LPA,0-2 years
81,,Social Media Influencer,Zuvomo Private Limited,Delhi,₹  2 LPA,0-2 years
82,,Associate Business Analyst,Akrity Computing,Bangalore,₹  3.6 - 4.2 LPA,0-2 years
83,,Business Development Associate,Alphaabets Digital Labs Private Limited,Bangalore,₹  2.4 - 3.6 LPA,0-2 years
84,,3D Artist,Srishti Technet Private Limited,Work from home,₹  4.8 LPA,0-2 years
85,,Administration Executive,AMRG & Assoiates,Delhi,₹  2 - 2.4 LPA,0-2 years
86,,Sales Executive,Endlos Technologies Private Limited,Ahmedabad,₹  2 - 2.4 LPA,0-2 years
87,1.0,Junior Operations Executive (Celebrity Platform),Tring,Mumbai,₹  2 - 3 LPA,0-2 years
88,,Customer Support Executive,Vakil Desk,Delhi,₹  2 - 2.5 LPA,0-2 years
